Date_Time,Lamp_State,Fan_State,Bathroom_Humidity,Bathroom_Temperature,Bedroom1_Humidity,Bedroom1_Temperature,Kitchen_Humidity,Kitchen_Temperature,Diningroom_Humidity,Diningroom_Temperature,Livingroom1_Humidity,Livingroom1_Temperature,Livingroom2_Humidity,Livingroom2_Temperature,Bedroom2_Humidity,Bedroom2_Temperature,Bedroom2-Bathroom_Door,Bedroom1-Livingroom_Door,Livingroom-Kitchen_Door,Livingroom-Bathroom_Door,Bedroom1-Bathroom_Door,N/A(Nothing),Bedroom1-Back_Door,Livingroom-Front_Door,Bedroom1-2ft_Window,Livingroom-2ft_Window,Bedroom2-2ft_Window,Kitchen-2ft_Window,Bedroom2-3ft_Window,Livingroom-3ft_Window,Kitchen-3ft_Window,Bedroom1-3ft_Window
2019-07-12-09:39:01.375250,1,0,61,82.4,35,96.8,68,71.6,66,71.6,52,80.6,53,78.8,60,75.2,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0
2019-07-12-09:40:15.304301,1,0,60,82.4,34,98.6,68,71.6,66,71.6,52,80.6,52,78.8,60,77,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0
2019-07-12-09:41:29.232856,1,0,61,84.2,31,98.6,68,73.4,63,71.6,51,80.6,54,78.8,59,77,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0
2019-07-12-09:43:00.897688,1,0,60,84.2,31,98.6,68,73.4,63,71.6,51,80.6,53,78.8,60,77,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0
2019-07-12-09:44:12.309599,1,0,60,84.2,32,100.4,67,73.4,66,71.6,51,80.6,154,55.4,60,77,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
2019-07-12-09:45:18.653182,1,0,59,84.2,31,100.4,69,73.4,68,71.6,51,80.6,52,78.8,60,77,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
2019-07-12-09:46:35.117499,1,0,59,84.2,31,100.4,68,73.4,64,71.6,51,80.6,52,78.8,60,77,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
2019-07-12-09:47:49.041234,1,0,59,84.2,31,100.4,68,73.4,67,71.6,51,80.6,53,78.8,60,77,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
2019-07-12-09:48:52.837337,1,0,59,84.2,143,66.2,69,73.4,66,71.6,51,80.6,53,78.8,60,77,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2019-07-12-09:50:01.694434,1,0,56,84.2,30,100.4,67,73.4,63,71.6,50,80.6,52,78.8,60,77,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2019-07-12-09:51:20.684743,1,0,56,84.2,30,100.4,67,73.4,66,71.6,49,80.6,52,78.8,60,77,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2019-07-12-09:52:49.801894,1,0,55,84.2,30,98.6,67,73.4,66,71.6,48,80.6,51,78.8,59,77,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2019-07-12-09:53:58.655841,1,0,56,84.2,30,98.6,67,73.4,62,71.6,49,80.6,51,78.8,59,77,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
2019-07-12-09:55:04.999810,1,0,58,84.2,32,100.4,66,73.4,66,71.6,49,80.6,52,78.8,59,77,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
2019-07-12-09:56:13.875564,1,0,58,86,32,100.4,67,73.4,63,71.6,49,80.6,153,55.4,60,77,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
