Date/Time	Lamp_State	Fan_State	Bathroom_Humidity	Bathroom_Temperature	Bedroom1_Humidity	Bedroom1_Temperature	Kitchen_Humidity	Kitchen_Temperature	Diningroom_Humidity	Diningroom_Temperature	Livingroom1_Humidity	Livingroom1_Temperature	Livingroom2_Humidity	Livingroom2_Temperature	Bedroom2_Humidity	Bedroom2_Temperature	
2019-07-12 09:02:25.608387	1	1	49.0	86.0	56.0	77.0	42.0	82.4	52.0	77.0	45.0	78.8	157.0	51.8	33.0	93.2	
2019-07-12 09:03:29.400477	1	1	73.0	69.8	68.0	71.6	68.0	69.8	66.0	69.8	65.0	69.8	65.0	71.6	59.0	73.4	
2019-07-12 09:04:35.730307	1	1	72.0	71.6	61.0	77.0	67.0	69.8	66.0	69.8	63.0	71.6	160.0	51.8	60.0	73.4	
2019-07-12 09:05:44.630804	1	1	71.0	73.4	56.0	80.6	67.0	69.8	161.0	50.0	63.0	73.4	62.0	73.4	59.0	73.4	
2019-07-12 09:06:50.961603	1	1	68.0	75.2	52.0	82.4	68.0	69.8	67.0	69.8	62.0	73.4	62.0	73.4	60.0	73.4	
2019-07-12 09:08:02.361559	1	1	68.0	75.2	49.0	84.2	66.0	71.6	67.0	69.8	62.0	73.4	61.0	75.2	60.0	73.4	
2019-07-12 09:09:16.312316	1	1	67.0	75.2	47.0	86.0	69.0	71.6	67.0	69.8	61.0	75.2	61.0	75.2	61.0	73.4	
2019-07-12 09:10:40.394233	1	1	67.0	77.0	45.0	87.8	66.0	71.6	65.0	71.6	60.0	75.2	61.0	75.2	61.0	73.4	
2019-07-12 09:11:56.838086	1	1	66.0	77.0	43.0	89.6	66.0	71.6	69.0	71.6	60.0	75.2	61.0	75.2	60.0	73.4	
2019-07-12 09:13:00.649880	1	1	65.0	78.8	41.0	89.6	69.0	71.6	68.0	69.8	59.0	75.2	60.0	75.2	60.0	73.4	
2019-07-12 09:14:09.524909	1	1	64.0	78.8	41.0	91.4	70.0	71.6	66.0	71.6	58.0	75.2	60.0	75.2	61.0	73.4	
